n,score
223,2455.49150795689
224,2409.3196357839442
225,2451.166321608394
226,2139.4099808969
227,3893.963211739266
228,2404.9016990005307
229,2339.024756215896
230,2067.990829813233
231,1983.4805846718396
232,2926.598267930646
233,2365.7845535833635
234,2301.3036014962177
235,2220.4508217161574
236,3941.8685508134586
237,2348.6156216875775
238,2784.972311937322
239,2423.231833198018
240,2219.217673908919
241,3552.6532212446546
242,2272.871725966034
243,2379.958396784911
244,2268.8626966511038
245,2310.660064528064
246,4096.027744656219
247,2212.892499973538
248,2109.3981247621173
249,2917.0297260892157
250,2280.6022448748454
251,2367.080525463485
252,2662.492154838782
253,2663.5365941036944
254,2344.2216574609247
255,2451.0197581492253
256,2776.165271782859
257,1996.4919383191732
258,2314.3723158745506
259,2274.571540159799
260,2563.7827256541486
261,2214.059095016826
262,2200.8364415754418
263,3824.1943551242857
264,2356.3164247532636
265,2383.264178901655
266,2092.482930526233
267,2241.4145753310327
268,4004.979034927395
269,2277.463178663462
270,2690.999323677594
271,3596.225407853691
272,1936.964549785648
273,2087.104573228516
274,2174.401946763323
275,2500.405864186379
276,2995.599721911064
277,2407.204712518477
278,2526.3326529347514
279,2202.628559369488
280,2329.019680312487
281,3801.54214926628
282,2394.911790937213
283,2575.5724479397436
284,2595.0812484856506
285,2035.4423425696064
286,2810.4853202584254
287,3793.300513991169
288,2538.5939739549394
289,2287.124495449116
290,2135.5666394770633
291,2381.115963317745
292,2078.756109878319
293,2651.017353593627
294,2259.343049433376
295,1988.8015609136116
296,2458.6817044852355
297,3700.5288890253582
298,2407.9605477166215
299,2087.487175449707
300,2446.7266934537856
301,2343.8915021131816
302,2450.5050390546053
303,2400.4225297592043
304,2261.823907448518
305,2247.4291442261156
306,2997.6908775759484
307,2249.31979940007
308,2143.3681562924626
309,2130.1262342947807
310,2078.0119994409656
311,1916.711729628987
312,4004.0447608161107
313,2903.606056920513
314,3938.4041652558617
315,2346.4166302654
316,2228.190571100075
317,2187.043371482398
318,2258.195000485742
319,2330.157666511766
320,2824.69943332094
321,2034.001698290283
322,2277.6970308257864
323,2107.936798584957
324,2439.186820716887
325,2441.6582788819283
326,2144.5184055503482
327,3738.4002601588295
328,3728.3543747901317
329,2390.86562078359
330,2595.0221308432183
331,2807.2616483610354
332,2344.357857522042
333,2175.4071940363174
334,3803.6916409272867
335,2256.028096198848
336,1981.6587431940732
337,2545.2505709971033
338,2363.7908825091467
339,2618.059705052106
340,2829.9200786150536
341,3724.6527619107687
342,2462.095890189442
343,2426.4674880901057
344,2240.862038304274
345,2522.0192910400215
346,2451.9641446664787
347,2362.051339450083
348,3848.424912784392
349,2304.233793250901
350,2041.0066620881307
351,3079.4553102884242
352,2376.693871064932
353,2310.0591391516177
354,2460.2295798361897
355,2021.5504091869234
356,2246.322898306283
357,2406.5055477102464
358,2128.0380521669736
359,2869.5351663852784
360,3903.953665614336
361,2875.815764832224
362,2181.0828941962936
363,2358.324392310505
364,2052.6799043238348
365,2284.834980486281
366,2370.1194485076016
367,3562.2894124371483
368,2242.5475036896123
369,2678.7880170982553
370,2701.3483552082703
371,2459.3984400124573
372,2641.8049667583387
373,2086.287910785085
374,2245.324812732193
375,3920.114646116223
376,2938.1337335467174
377,2385.89403167271
378,2067.481236479073
379,2208.544028478302
380,2492.4864617295425
381,1893.1464231437558
382,2291.1767463648353
383,3858.0642506602144
384,2231.490812518037
385,2118.5199205088006
386,4055.1718384749433
387,2426.938260416243
388,2813.840423787166
389,2410.604156433919
390,2270.957242810424
391,1947.5442152409003
392,2322.493004957206
393,2537.786519572258
394,2573.395467895344
395,2191.7871340495476
396,2824.590907513541
397,2299.220118172308
398,2536.8171024978224
399,2011.3177781510058
400,2268.817972709905
401,2349.256765033355
402,2172.325196445042
403,2720.233967041847
404,3619.3859012747344
405,3888.8869562314044
406,2564.3919214707676
407,2130.7711551456714
408,2442.189231321855
409,2191.94154779634
410,2369.2063312229548
411,2902.7987625153633
412,3887.128009185336
413,2053.0602858635634
414,2472.3089643329295
415,2423.020770404379
416,3522.9554690053787
417,2312.189474124885
418,2314.1104874865623
419,2019.8003075860174
