n,score
684,174.99949968637773
685,166.50416023662342
686,169.87210840184477
687,165.40407252577694
688,165.29943256023213
689,162.554393583467
690,167.44288993532047
691,226.8746430675939
692,219.68619788790187
693,215.9911473211352
694,214.83540139507286
695,197.98385349017545
696,216.31772692291133
697,214.85690725929595
698,197.54065368694407
699,194.29036364898923
700,199.7355586608188
701,186.83183237822962
702,190.35779376661256
703,183.0475313208362
704,206.53607087111297
705,195.6688561502418
706,185.39344159299222
707,187.69276007762716
708,215.27909156740193
709,215.89201442248887
710,242.3611833864857
711,218.5595585275921
712,258.26819007970204
713,241.98637976317664
714,261.4835145054281
715,313.64114834239075
716,225.86281670019042
717,231.49267155886645
718,257.6011022524462
719,225.23243759637273
720,241.63543926295478
721,226.9851707293443
722,216.43155425554767
723,213.90890308115632
724,219.5770273378431
725,206.85823687795033
726,215.05796791836488
727,211.7333149310499
728,197.34342719513174
729,205.5502942918104
730,222.00365886817391
731,196.32274194248362
732,203.2628479351221
733,203.70088044123767
734,221.0533234895041
735,193.42860973712592
736,221.6972218409107
737,199.44545146293572
738,200.7320598882152
739,191.2756469004001
740,200.85475089135545
741,210.22136353135966
742,193.8514784888602
743,198.31151699182533
744,207.11964318604765
745,193.7311886144715
746,197.67292235745953
747,191.44389495261177
748,191.11687768572398
749,183.20583614886206
750,187.3137040032516
751,219.6791665903238
752,258.9244421229196
753,211.67214909211512
754,277.5132012199171
755,210.86456620323943
756,228.83015438942746
757,217.04593816319937
758,229.42391224192744
759,198.72297879059147
760,228.2707274506051
761,219.6907633206743
762,213.26047770322188
763,195.4541055517032
764,230.8352398061385
765,204.9674325258006
766,185.66409003494687
767,203.05061366180345
768,188.58067539140941
769,197.4966389705506
770,177.06151299465378
771,177.9726995366441
772,193.6272156823853
773,183.65054698799884
774,190.5124775907438
775,178.19399298884684
776,189.06619047102612
777,175.1826900141556
778,172.22095665919272
779,168.77636954956182
780,182.16233381552846
781,163.40737440345626
782,168.9945046636074
783,165.84743472563662
784,164.66149634125122
785,157.3051907971512
786,159.5315597085046
787,155.79155581644685
788,158.47295410177455
789,151.6680875611093
790,153.25029396042933
791,151.3753558260678
792,163.2567579563359
793,150.12984367054122
794,159.20165727281505
795,154.75078141492781
796,144.084823092107
797,157.3004821963494
798,152.53645213822932
799,155.4536691193067
800,165.444044547935
801,157.33045933239086
802,162.22795670692255
803,160.94561071853533
804,164.5094687177102
805,152.6258596880257
806,156.9503416950442
807,159.05735130170336
808,141.98640986572747
809,145.37427377473944
810,154.1169322692414
811,151.76630750730374
812,137.58523444321062
813,146.54113187692428
814,139.4551956695075
815,138.57908527951335
816,143.59048920641837
817,174.6925899318818
818,141.04761425395003
819,173.57289218301432
820,193.53649975802168
821,192.92362304388908
822,202.03795740336864
823,175.52467116768946
824,223.16507472005352
825,195.1754062879543
826,189.71803960428434
827,190.68553183808885
828,188.1356083846385
829,177.80627273707844
830,186.00812225423894
831,167.22770753116623
832,166.6816212413622
833,165.77331380994667
834,173.928567263149
835,161.21967715363783
836,162.38232171666345
837,151.78016994259272
838,156.50882733498273
839,153.4378002861979
840,145.01712052261556
841,144.65446095130338
842,140.54177431673375
843,136.5306821352999
844,140.15227823789465
845,133.24230630339807
846,136.76720861428203
847,126.88309210289881
848,135.95910828385007
849,123.9896779984873
850,129.33073649481554
851,125.40152063103113
852,124.4318177738452
853,119.47063280876515
854,123.12818839845376
855,119.74369798655539
856,123.23722601270902
857,119.02018408379422
858,119.25590366582823
859,115.32153029443359
860,118.36624082290658
861,113.75687221652214
862,128.46288315874537
863,114.21954412378994
864,122.22092226989244
865,117.62351522510994
866,114.2715371220552
867,119.87230364743245
868,111.9940136073126
869,114.53960557871935
870,111.59699560676675
871,121.50650894686116
872,112.53252448951905
873,130.2004572617653
874,123.62783391685788
875,118.18144020184114
876,114.42092024204374
877,118.31560787854332
878,111.25776936375341
879,119.36969142552013
880,117.58666289061831
881,114.7149230443093
882,111.97329353314299
883,105.38372101593022
884,124.97957014134136
885,114.0634659382602
886,119.43041312838945
887,108.10714963395799
888,109.59126932614521
889,108.61362432437315
890,108.04465694480457
891,104.4759630466469
892,110.12813131827895
893,109.54190006602076
894,107.41475884171632
895,120.63259408091513
896,102.23997089906234
897,103.53852344949112
898,107.66397673849465
899,96.91785149757709
900,102.71400146618154
901,94.95178646863643
902,102.92211033497057
903,98.99800406280555
904,104.10895217476701
905,122.17736518194356
906,118.08248453817394
907,107.97602799252476
908,133.13233820163697
909,123.87138258288061
910,118.51332491072891
911,110.05295837477016
912,139.1927162486115
913,114.09297729168867
914,111.6852210987694
915,109.93458885364754
916,129.38322385007947
917,122.83872810640952
918,139.50436323900328
919,114.87395134484782
920,124.5692641068138
921,116.55217521423275
922,144.52950984232697
923,135.94779611488863
924,130.00557358990847
925,115.21181638256985
926,120.20920903236416
927,123.0422488418501
928,120.7385540641879
929,119.57426419828465
930,109.43194194145305
931,119.45374745735133
932,133.55863292756553
933,119.63437685408819
934,117.4963039890051
935,110.29602250614593
936,129.43536275662308
937,121.13763735262215
938,130.52420285048754
939,108.49378281027664
940,137.92894672544398
941,128.20625004632328
942,111.64376334163579
943,115.3285728129252
944,161.51699591877474
945,130.5843060914019
946,167.89207005702906
947,134.06199990873563
948,138.0790395769896
949,141.99411666246183
950,126.3925718241427
951,124.12970697037852
952,121.10087848378068
953,124.27864171359857
954,118.30227863188
955,106.74177825863639
956,112.23214606655557
957,112.27424557859848
958,105.56030055546297
959,103.82217797789814
960,105.86387849074546
961,101.8087376378258
962,104.17869196953659
963,106.03757542687534
964,106.61536153900217
965,111.05747089229517
966,123.77938314582747
967,100.7875839925727
968,119.02657617038156
969,110.87991650794211
970,114.27775974887543
971,94.30885942556749
972,107.17621203601601
973,96.53039090361582
974,103.25196524212328
975,91.86832152924882
976,100.54327141900465
977,96.1394292917045
978,99.69122048995422
979,90.40641412080784
980,104.04186933219252
