n,score
331,1043.6869286403162
332,780.823067836523
333,918.7448872910973
334,885.5424630469857
335,798.6568551863663
336,884.4495775904886
337,1032.1365796622797
338,1047.3797438599936
339,1081.9250546855358
340,2153.9229471758345
341,608.2126115498652
342,1373.4191257065654
343,867.950259605433
344,1416.042472727119
345,1003.6188177674844
346,1022.8103027294383
347,1815.079446805423
348,1282.3000343487581
349,896.020246126721
350,1006.0152181651332
351,1098.8953136489238
352,933.8197155481022
353,880.0445530625885
354,948.1390162331442
355,1426.9698060932346
356,979.5070294200373
357,1113.8906016643994
358,972.5847215463433
359,612.4425741944685
360,1029.8376866733045
361,1005.9125111861446
362,952.4417729094918
363,948.6971281466509
364,854.2015174412038
365,787.1809216392169
366,676.564706841982
367,1777.2433929728427
368,1039.7586917911121
369,2308.6211653115197
370,1151.3097109446649
371,867.8956287103739
372,755.0857726730635
373,877.3531600225575
374,990.875761278252
375,967.2275143007815
376,846.7321994383224
377,1817.789258287827
378,843.1813657477122
379,865.5717208786328
380,957.7250620312403
381,688.8350097516145
382,1167.5824117024515
383,1262.2239817000516
384,744.2174717113387
385,831.100465390168
386,671.4351851283906
387,834.9954442489126
388,837.5364140950369
389,984.0484456791478
390,514.6509042938058
391,805.2079453787236
392,1026.8870501338658
393,1452.3042935604203
394,639.7262933319315
395,999.8399131860741
396,486.74263038107165
397,778.1415524178243
398,1901.3532146148993
399,750.848741069383
400,632.8255600234849
401,827.8828359358158
402,806.9275734380674
403,650.3111594102436
404,959.4641980214701
405,823.183697316351
406,1214.1018508754253
407,1057.0359871589294
408,1614.702166673833
409,955.6836961788038
410,781.1459228611786
411,612.8010045796659
412,809.9596781121548
413,794.2438337810495
414,724.6859703802138
415,783.5913783105025
416,652.1034669330022
417,943.438668421719
418,601.850894666866
419,490.07064031921317
420,774.4269745498749
421,958.4524618020525
422,921.7781266231045
423,750.4304511351895
424,768.8093387723443
425,1429.9821895559867
426,699.4883112512553
427,587.6653517911716
428,495.489612249895
429,1019.0614774490929
430,1680.761244990003
431,842.4871349787883
432,792.313475785537
433,611.1452266613217
434,794.7659193519548
435,618.1585287962947
436,925.8548451988537
437,785.4267836471232
438,980.2602053455222
439,693.4221196442063
440,773.1900015143887
441,760.8055455043872
442,558.4609013691361
443,776.2289382732652
444,763.9801292826991
445,1800.9731695039657
446,587.8343874704626
